'3DRendering', '3-D / Rendering Options'
'default_gps_icon', 'Default'
'defaultRouteColor', 'Default for unspecified Route Colors'
'deviceDetails', 'Device Details'
'device_preferences_category', 'Device Preferences'
'devicePrefs', 'Device Preferences'
'deviceProfileEnableOnConnect', 'Apply TAK Server profile updates'
'deviceSettings', 'Device Preferences'
'dexControls', 'Enable DEX Friendly Controls'
'dex_options_category', 'DEX Options'
'dexOptions', 'DEX Options'
'dim_map_with_brightness_key', 'Map Overlays Dimming/Brightening'
'disable_autolink_mapitem_links', 'Disable AutoLink launching for Associated Links in map items'
'disableLeyGuard', 'Disable KeyGuard'
'dispatchLocationCotExternalAtStart', 'Report Location before obtaining location fix'
'dispatchLocationCotExternal', 'Send Contact Information'
'dispatchLocationHidden', 'Hide my current position'
'dispatchTAKVersionNumber', 'Report the TAK version number as part of the SA message'
'displayAsSymbologyGraphic', 'Display Users as Symbols'
'display_preference_category', 'Display Preference'
'displayPrefs', 'Display Preferences'
'displayServerConnectionWidget', 'Display Connection Widget'
'displaySettings', 'Android Display Preferences'
'dns_servers_category', 'DNS Servers'
'documentation', 'Support'
'domain_preferences_category', 'Domain Preferences'
'dpgkRootVisibilityToggle', 'Overlay Manager Mass Visibility Toggle'
'driving_category', 'Driving'
'dynamicReportingRateMaxReliable', 'Dynamic Reporting Rate Maximum (Reliable)'
'dynamicReportingRateMaxUnreliable', 'Dynamic Reporting Rate Maximum (Unreliable)'
'dynamicReportingRateMinReliable', 'Dynamic Reporting Rate Minimum (Reliable)'
'dynamicReportingRateMinUnreliable', 'Dynamic Reporting Rate Minimum (Unreliable)'
'dynamicReportingRateStationaryReliable', 'Dynamic Reporting Rate Stationary (Reliable)'
'dynamicReportingRateStationaryUnreliable', 'Dynamic Reporting Rate Stationary (Unreliable)'
'elevation_data_category', 'Elevation Data'
'elevProfileCenterOnSeeker', 'Elevation Profile Center on Seeker'
'elevProfileInterpolateAlt', 'Elevation Profile Interpolate Altitudes'
'enableAutoUploadLogs', 'Auto Upload App Logs'
'enableNonStreamingConnections', 'Enable Mesh Network Mode'
'enableToast', 'Display Notification'
'encryptPassword', 'Encryption Password'
'eud_api_disable_option', 'Disable EUD Link Capability'
'expandedDangerClose', 'Expanded Danger Close Search'
'expireEverything', 'Remove all marker types from map when they stale out'
'expireStaleItemsTime', 'Stale item clean up time'
'expireUnknowns', 'Remove Unknown markers when they stale out'
'exportHistory', 'Export Chat History'
'fade_notification', 'Fade Notification Time'
'faux_nav_bar', 'Enable the Faux Navigation Bar'
'faux_nav_bar_reverse', 'Reverse the buttons on the Faux Navigation Bar'
'fileshareDownloadAttempts', 'Download attempts'
'filesharingAllServers', 'Use All Servers'
'filesharingConnectionTimeoutSecs', 'File Transfer Connection Timeout'
'filesharingEnabled', 'Enable file sharing.'
'filesharingSecureWebServerPort', 'Secure Server port'
'filesharingSizeThresholdNoGo', 'File Transfer Max size'
'filesharingTransferTimeoutSecs', 'File Transfer Failure Timeout'
'filesharingWebServerLegacyHttpEnabled', 'Allow HTTP transfers'
'filesharingWebServerPort', 'Server port'
'fire_prefs_category', 'Digital Pointer Preferences'
'firesNumberOfSpis', 'Number of DPs'
'flying_category', 'Flying'
'force_dted_elevation_only', 'Force DTED Elevation'
'forceEnglish', 'Ignore Global Language Settings'
'frame_limit', 'Render Speed'
'generalDisplayPref', 'Display Preferences'
'generate_detail_pool', 'Advanced CoT Details Recorder'
'generate_full_pool', 'Advanced CoT Recorder'
'geochat_network_preferences_category', 'Geo Chat(Mesh) Network Preferences'
'goto_tool_use_last_point', 'GoTo Use Last Point'
'gpsSettings', 'GPS Preferences'
'gpxImportCheckpointsForNamedRoutePoints', 'GPX Import Checkpoints'
'grgRootVisibilityToggle', 'Overlay Manager (Image Overlays) Mass Visibility Toggle'
'gridLinesPreference', 'Grid Line Preferences'
'history_preferences_category', 'History Preferences'
'hostileUpdateDelay', 'Automatically Broadcast a Marker'
'httpClientPermissiveMode', 'Enable VPN Proxy Mode'
'imagery_layer_outline_preferences_category', 'Imagery Layer Outline Preferences'
'imagery_tab_name', 'Imagery Tab Name'
'import_style_default_preferences_category', 'Import Style Default Preferences'
'input_output_management_category', 'Input/Output Management'
'insertDestInDirectedCoT', 'Gateway System Interoperability'
'key_for_category', 'Metrics Logging Preferences'
